"","LGA","m_count","f_count","m_percent","f_percent"
"149",22110,22107,22932,0.490830373001776,0.509147424511545
"150",22170,65418,68727,0.487673602051542,0.512341307410748
"151",22250,5257,5293,0.498341074983411,0.501753720731823
"152",22310,68140,72735,0.483691215616681,0.516308784383319
"153",22410,9749,9809,0.498491588689472,0.501559543897326
"154",22490,11019,10675,0.508068978236813,0.492207672445592
"155",22620,53587,56891,0.485051187124922,0.514957864532889
"156",22670,77550,74506,0.510029595527787,0.490009865175929
"157",22750,113214,120217,0.485004005500602,0.515004562415124
"158",22830,31713,32125,0.496780863762395,0.503234801134139
"159",22910,7382,7944,0.481539465101109,0.518199608610567
"160",22980,2848,2872,0.497815067295927,0.502010138087747
"161",23110,43631,45146,0.491461848656199,0.508526887291897
"162",23190,9576,10067,0.487526728439059,0.512524182873434
"163",23270,98273,99102,0.497897414072633,0.502097519455253
"164",23350,7859,8097,0.492665496489468,0.507585255767302
"165",23430,73637,77753,0.486409184286837,0.513597421212902
"166",23670,75317,78793,0.488722341184868,0.511277658815132
"167",23810,35788,37469,0.488526693694801,0.511473306305199
"168",23940,3848,3668,0.511974454497073,0.488025545502927
"169",24130,22685,23415,0.492082429501085,0.507917570498915
"170",24210,56306,59953,0.484331856694336,0.515702550427939
"171",24250,4272,4314,0.49767008387698,0.502562907735322
"172",24330,41405,40883,0.503171786894808,0.496828213105192
"173",24410,53398,56979,0.483782706385446,0.516226353555121
"174",24600,66137,69823,0.486448120389235,0.513559234769305
"175",24650,66890,68549,0.49386088612922,0.506109581152219
"176",24780,26481,27398,0.491499313263299,0.508519247188092
"177",24850,20570,20350,0.502712742558287,0.497336135686006
"178",24900,14514,14598,0.498557295960429,0.501442704039571
"179",24970,89722,92890,0.49130972850431,0.508657416026898
"180",25060,56394,60280,0.483359189515818,0.51666652381483
"181",25150,15744,16073,0.494814256081463,0.505154315167515
"182",25250,79507,83051,0.489099275335573,0.510900724664427
"183",25340,74875,80125,0.483067632694405,0.516938818960122
"184",25430,9389,9375,0.500453067533714,0.499706838654656
"185",25490,8255,8245,0.500454683237345,0.499848438920885
"186",25620,6957,6771,0.506626856976406,0.493081852607049
"187",25710,30266,31007,0.49395329100909,0.50604670899091
"188",25810,5652,5785,0.494099134539732,0.505726025002186
"189",25900,49307,51563,0.488851214022982,0.511218187045795
"190",25990,3831,3408,0.529289859077093,0.470848300635535
"191",26080,1325,1527,0.464423413950228,0.535226077812829
"192",26170,14059,14644,0.489809427585967,0.510190572414033
"193",26260,7759,8178,0.486640742599097,0.512920220772704
"194",26350,49371,54462,0.475489251868403,0.524520379073889
"195",26430,5074,5198,0.493868016351956,0.505937317500487
"196",26490,14582,14818,0.496037010579311,0.504065040650406
"197",26610,10368,10217,0.503692188107268,0.496356393315196
"198",26670,3077,2907,0.514118629908104,0.485714285714286
"199",26700,13651,14665,0.482197103496998,0.518014835747086
"200",26730,16157,17502,0.480077254494132,0.520041598573763
"201",26810,21695,21287,0.504734429890887,0.495242305097364
"202",26890,1966,1941,0.503715090955675,0.497309761721753
"203",26980,78051,84032,0.481564431940177,0.518466417403966
"204",27070,97541,99952,0.493900987893119,0.506109139150645
"205",27170,19296,20050,0.490356026530457,0.509516911895505
"206",27260,108806,108319,0.501128397859268,0.498885419257376
"207",27350,42039,44619,0.485119494097419,0.514892045651246
"208",27450,73819,75717,0.493650400904124,0.506342911787718
"209",27630,3366,3305,0.504345220257717,0.495205274198382
"210",29399,473,409,0.539954337899543,0.46689497716895
"211",30250,632,635,0.498029944838455,0.500394011032309
"212",30300,2251,2129,0.514279186657528,0.486406214302033
"213",30370,7388,6928,0.5159578182834,0.483832669879181
"214",30410,1449,1419,0.505759162303665,0.495287958115183
"215",30450,149,123,0.558052434456929,0.460674157303371
"216",30760,944,958,0.496058854440357,0.503415659485024
"217",30900,228,201,0.535211267605634,0.471830985915493
"218",31000,556440,574720,0.491921973558,0.508082446702707
"219",31750,187,164,0.529745042492918,0.464589235127479
"220",31820,45716,47180,0.492114922979214,0.507874312410519
"221",31900,8673,8402,0.507965327398384,0.492093241185428
"222",31950,183,144,0.557926829268293,0.439024390243902
"223",32080,77390,79508,0.49324096086067,0.506739918802302
"224",32250,1003,947,0.512257405515832,0.483656792645557
