"","LGA","count","Gender","percentage"
"297","40910",24386,"Male",0.486125508332669
"298","41010",1697,"Male",0.497946009389671
"299","41060",54650,"Male",0.48899864887839
"300","41140",4488,"Male",0.497395544719051
"301","41190",925,"Male",0.522303783173348
"302","41330",962,"Male",0.545970488081725
"303","41560",7038,"Male",0.497772119669001
"304","41750",561,"Male",0.536842105263158
"305","41830",806,"Male",0.490566037735849
"306","41960",685,"Male",0.527734976887519
"307","42030",11098,"Male",0.481809499001476
"308","42110",2079,"Male",0.502659574468085
"309","42250",4507,"Male",0.549433134219188
"310","42600",16847,"Male",0.476442307692308
"311","42750",2405,"Male",0.511484474691621
"312","43080",566,"Male",0.519266055045872
"313","43220",543,"Male",0.511781338360038
"314","43360",1215,"Male",0.517241379310345
"315","43650",7438,"Male",0.504750271444082
"316","43710",2954,"Male",0.536116152450091
"317","43790",5737,"Male",0.499434142944198
"318","43920",4560,"Male",0.518122940574935
"319","44000",25,"Male",0.423728813559322
"320","44060",42609,"Male",0.480816538400776
"321","44210",4617,"Male",0.534251330710484
"322","44340",31270,"Male",0.482524496566623
"323","44550",16246,"Male",0.486450878821451
"324","44620",12737,"Male",0.484738925254986
"325","44830",1458,"Male",0.509078212290503
"326","45040",10474,"Male",0.502157445584428
"327","45090",4308,"Male",0.519599565794235
"328","45120",2315,"Male",0.511715296198055
"329","45290",16931,"Male",0.478790792375997
"330","45340",81610,"Male",0.489368336471463
"331","45400",447,"Male",0.499441340782123
"332","45540",830,"Male",0.494636471990465
"333","45680",44296,"Male",0.495636217159737
"334","45890",60100,"Male",0.495751876598202
"335","46090",7036,"Male",0.509559675550406
"336","46300",6930,"Male",0.492747440273038
"337","46450",8501,"Male",0.489576134531214
"338","46510",10296,"Male",0.501583280557315
"339","46670",4720,"Male",0.498153034300792
"340","46860",705,"Male",0.511611030478955
"341","46970",2217,"Male",0.570803295571576
"342","47140",68753,"Male",0.498285971053566
"343","47290",1047,"Male",0.51652688702516
"344","47490",1101,"Male",0.530858244937319
"345","47630",3480,"Male",0.525679758308157
"346","47700",47813,"Male",0.489215626087134
"347","47800",2758,"Male",0.512639405204461
"348","47910",1281,"Male",0.490804597701149
"349","47980",17771,"Male",0.471116884494048
"350","48050",6914,"Male",0.47146266621207
"351","48130",3465,"Male",0.509483899426555
"352","48260",3676,"Male",0.486887417218543
"353","48340",5893,"Male",0.504667294681853
"354","48410",28250,"Male",0.487901763354692
"355","48540",10920,"Male",0.500274876305662
"356","48640",639,"Male",0.5112
"357","48750",2550,"Male",0.49428183756542
"358","48830",5704,"Male",0.515918958031838
"359","49399",2154,"Male",0.611237230419977
"360","50080",18051,"Male",0.493425908208731
"361","50210",39594,"Male",0.497399562825055
"362","50250",9427,"Male",0.723706433287272
"363","50280",7131,"Male",0.500140272127928
"364","50350",7427,"Male",0.492115027829314
"365","50420",32178,"Male",0.497518437775407
"366","50490",20248,"Male",0.510256539488937
"367","50560",889,"Male",0.50945558739255
"368","50630",982,"Male",0.532537960954447
"369","50770",858,"Male",0.504409171075838
"370","50840",2263,"Male",0.485622317596567
"371","50910",492,"Male",0.504615384615385
"372","50980",8117,"Male",0.500369868080385
"373","51080",579,"Male",0.506118881118881
"374","51120",482,"Male",0.518279569892473
"375","51190",15645,"Male",0.49014693442777
"376","51260",17908,"Male",0.488142615711716
"377","51310",13123,"Male",0.489974984131725
"378","51330",45294,"Male",0.502239865164552
"379","51400",8387,"Male",0.489809028791684
